VehicleID,LicensePlateNumber,Brand,Model,Color,Year,CustomerID
700000000,BV64JD,Honda,Civic,Silver,2008,4000
700000001,CHD789,Toyota,4Runner,White,2015,4001
700000002,C699999,Volvo,SRT,Blue,2013,4002
700000003,BV64JD7,Honda,Civic,Silver,2008,4003
700000004,CHD790ds,Toyota,4Runner,White,2015,4004
700000005,C700028,Volvo,SRT,Blue,2013,4005
700000006,BV6287,Honda,Civic,Silver,2008,4006
700000007,CHDd765,Toyota,4Runner,White,2015,4007
700000008,C702762,Volvo,SRT,Blue,2013,4008
700000009,BV6272,Honda,Civic,Silver,2008,4009
700000010,CHD79277,Toyota,4Runner,White,2015,4010
700000011,C7003865,Volvo,SRT,Blue,2013,4011
700000012,BV8265,Honda,Civic,Silver,2008,4012
700000013,CHD2836,Toyota,4Runner,White,2015,4013
700000014,C703866,Volvo,SRT,Blue,2013,4014
700000015,Bci77792,Honda,Civic,Silver,2008,4015
700000016,CHDd872,Toyota,4Runner,White,2015,4016
700000017,C77777,Volvo,SRT,Blue,2013,4017
700000018,B8884JD,Honda,Civic,Silver,2008,4018
700000019,CH862,Toyota,4Runner,White,2015,4019
700000020,BB862VM89,VW,Polo,White,2017,4022
